,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Temp,Wind Speed
0,Hobart,75,AU,1535236200,61,-42.88,147.33,48.2,48.2,13.87
1,Yellowknife,75,CA,1535234400,71,62.45,-114.38,51.8,51.8,11.41
2,Ushuaia,75,AR,1535234400,100,-54.81,-68.31,41.0,41.0,19.46
3,Fortuna,0,ES,1535236200,69,38.18,-1.13,80.6,80.6,9.17
4,Gizo,40,IL,1535235600,74,31.8,34.94,78.8,78.8,4.7
5,Avarua,20,CK,1535234400,74,-21.21,-159.78,80.6,80.6,8.05
6,Umtata,0,ZA,1535234400,67,-31.59,28.78,57.2,57.2,3.36
7,Yatou,40,CM,1535234400,94,3.63,9.81,75.2,75.2,3.36
8,Arraial do Cabo,75,BR,1535234400,88,-22.97,-42.02,71.6,71.6,3.36
9,Hilo,90,US,1535234760,96,19.71,-155.08,75.02,75.02,4.7
10,Mataura,0,NZ,1535237325,76,-46.19,168.86,55.73,55.73,17.72
11,Leningradskiy,76,RU,1535237325,100,69.38,178.42,36.47,36.47,9.44
12,Punta Arenas,75,CL,1535234400,75,-53.16,-70.91,42.8,42.8,10.29
13,Praya,40,ID,1535236200,88,-8.71,116.27,71.6,71.6,2.24
14,Port Elizabeth,1,US,1535234160,64,39.31,-74.98,78.98,77.65,8.05
15,Atuona,100,PF,1535237326,100,-9.8,-139.03,78.86,78.86,19.62
16,Sainte-Rose,75,CA,1535234400,42,45.61,-73.79,82.4,80.6,6.93
17,Rabo de Peixe,40,PT,1535236200,78,37.8,-25.58,71.6,71.6,10.29
18,Wonthaggi,48,AU,1535237327,87,-38.6,145.59,49.97,49.97,3.74
19,Rikitea,0,PF,1535237327,100,-23.12,-134.97,72.83,72.83,13.8
20,Port Lincoln,32,AU,1535237328,96,-34.72,135.86,56.0,56.0,5.64
21,Penzance,80,GB,1535233800,87,50.12,-5.53,50.0,50.0,6.93
22,Santa Isabel do Rio Negro,0,BR,1535237328,89,-0.41,-65.02,77.87,77.87,2.95
23,Dikson,92,RU,1535237328,100,73.51,80.55,45.83,45.83,14.03
24,Castro,92,CL,1535237329,97,-42.48,-73.76,49.88,49.88,8.66
25,Chitral,0,PK,1535237329,55,35.85,71.79,36.47,36.47,0.38
26,Piat,92,PH,1535237329,99,17.79,121.48,72.29,72.29,2.62
27,Cam Ranh,56,VN,1535237330,91,11.92,109.15,80.84,80.84,6.42
28,Comodoro Rivadavia,0,AR,1535234400,45,-45.87,-67.48,64.4,64.4,25.28
29,Tiksi,0,RU,1535237330,99,71.64,128.87,46.82,46.82,3.06
30,Busselton,88,AU,1535237331,100,-33.64,115.35,53.39,53.39,8.21
31,Yar-Sale,0,RU,1535237331,100,66.83,70.83,48.17,48.17,19.62
32,Salalah,90,OM,1535233800,100,17.01,54.1,73.4,73.4,4.7
33,La Reforma,20,GT,1535234400,66,14.8,-91.82,87.8,87.8,9.17
34,Nabire,80,ID,1535237332,93,-3.36,135.5,71.21,71.21,1.16
35,Qaanaaq,0,GL,1535237332,92,77.48,-69.36,37.19,37.19,7.76
36,Thompson,90,CA,1535234400,93,55.74,-97.86,46.4,46.4,5.82
37,Saint-Philippe,1,CA,1535236500,44,45.36,-73.48,82.4,79.97,5.82
38,Grindavik,0,IS,1535234400,75,63.84,-22.43,48.2,47.35,6.93
39,Chokurdakh,92,RU,1535237333,94,70.62,147.9,44.03,44.03,8.43
40,Pangnirtung,32,CA,1535237333,96,66.15,-65.72,40.25,40.25,6.2
41,Pljevlja,0,ME,1535236200,77,43.36,19.36,62.6,62.6,3.36
42,Ketchikan,90,US,1535234160,64,55.34,-131.65,64.04,63.01,12.75
43,Jamestown,8,AU,1535237334,64,-33.21,138.6,52.85,52.85,3.96
44,Gold Coast,90,AU,1535236200,93,-28.0,153.41,60.8,60.8,5.82
45,Formosa,0,AR,1535234400,44,-26.19,-58.17,57.2,57.2,3.36
46,Mnogovershinnyy,24,RU,1535237335,79,53.94,139.92,65.0,65.0,2.73
47,Norman Wells,90,CA,1535234400,93,65.28,-126.83,51.8,51.8,2.24
48,Bulgan,0,MN,1535237336,88,48.81,103.53,50.06,50.06,2.73
49,Qaqortoq,75,GL,1535233800,81,60.72,-46.03,44.6,44.6,6.93
50,Carnarvon,0,ZA,1535237336,79,-30.97,22.13,36.92,36.92,13.69
51,Ostrovnoy,80,RU,1535237336,70,68.05,39.51,62.39,62.39,17.6
52,Puerto Ayora,75,EC,1535234400,61,-0.74,-90.35,78.8,78.8,14.99
53,Belyy Yar,0,RU,1535234400,82,53.6,91.39,59.0,59.0,2.24
54,Hasaki,75,JP,1535236200,79,35.73,140.83,84.2,82.08,2.24
55,Port Blair,92,IN,1535237318,100,11.67,92.75,79.49,79.49,23.09
56,New Norfolk,75,AU,1535236200,61,-42.78,147.06,48.2,48.2,13.87
57,Riberalta,90,BO,1535234400,88,-11.0,-66.08,75.2,75.2,13.87
58,Mersing,12,MY,1535237338,98,2.43,103.84,76.52,76.52,6.08
59,Sur,20,OM,1535237339,91,22.57,59.53,84.17,84.17,4.63
60,Victoria,75,BN,1535236200,88,5.28,115.24,80.6,79.68,5.19
61,San Quintin,90,PH,1535234400,94,17.54,120.52,77.0,77.0,6.93
62,Tabou,92,CI,1535237340,98,4.42,-7.36,77.69,77.69,19.06
63,Belaya Gora,92,RU,1535237340,77,68.54,146.19,46.73,46.73,4.41
64,Kavieng,24,PG,1535237340,100,-2.57,150.8,83.0,83.0,1.16
65,Tasiilaq,88,GL,1535237341,100,65.61,-37.64,41.87,41.87,0.04
66,Kodiak,1,US,1535233980,47,39.95,-94.76,93.92,93.92,10.29
67,Guerrero Negro,0,MX,1535237341,59,27.97,-114.04,78.95,78.95,13.13
68,Cabo San Lucas,20,MX,1535233680,58,22.89,-109.91,89.6,88.75,10.29
69,Georgetown,20,GY,1535234400,78,6.8,-58.16,82.4,82.4,11.41
70,Barrow,0,AR,1535237343,47,-38.31,-60.23,37.46,37.46,3.06
71,Krasnyy Chikoy,88,RU,1535237343,99,50.36,108.75,54.02,54.02,2.62
72,Pochutla,75,MX,1535233500,62,15.74,-96.47,87.8,87.8,7.43
73,Karratha,0,AU,1535237343,31,-20.74,116.85,58.07,58.07,14.03
74,Marienburg,0,DE,1535235600,81,52.12,9.98,53.6,51.78,8.05
75,Kapaa,90,US,1535236920,100,22.08,-159.32,86.0,82.27,24.16
76,Apac,80,UG,1535237344,100,1.98,32.53,64.37,64.37,3.51
77,Iqaluit,75,CA,1535234400,81,63.75,-68.52,44.6,44.6,2.95
78,Hermanus,92,ZA,1535237345,99,-34.42,19.24,45.29,45.29,11.79
79,Butaritari,68,KI,1535237345,100,3.07,172.79,85.16,85.16,6.76
80,Vestmannaeyjar,12,IS,1535237345,100,63.44,-20.27,46.46,46.46,6.2
81,Bluff,44,AU,1535237345,71,-23.58,149.07,68.69,68.69,4.52
82,Yinchuan,0,CN,1535237346,78,38.48,106.21,67.07,67.07,1.05
83,Lethem,64,GY,1535237346,55,3.38,-59.8,85.7,85.7,7.2
84,Fairbanks,90,US,1535235420,82,64.84,-147.72,59.0,57.78,5.82
85,Zabid,32,YE,1535237347,32,14.2,44.5,62.75,62.75,3.62
86,Houma,0,CN,1535237347,68,35.63,111.36,71.39,71.39,3.06
87,Cape Town,75,ZA,1535234400,71,-33.93,18.42,50.0,50.0,19.46
88,Deputatskiy,48,RU,1535237348,74,69.3,139.9,43.49,43.49,3.96
89,Saint-Augustin,90,FR,1535236200,82,44.83,-0.61,62.6,61.61,4.7
90,Los Llanos de Aridane,48,ES,1535236200,88,28.66,-17.92,73.4,73.4,11.41
91,Tuktoyaktuk,40,CA,1535234400,66,69.44,-133.03,51.8,51.8,4.7
92,Opuwo,0,NA,1535237349,54,-18.06,13.84,54.2,54.2,4.18
93,Moindou,92,NC,1535236200,82,-21.69,165.68,66.2,66.2,3.62
94,Varkaus,90,FI,1535235600,93,62.32,27.87,57.2,57.2,2.24
95,Puerto Quijarro,0,BO,1535234400,32,-19.0,-57.72,68.0,67.08,12.75
96,Nileshwar,88,IN,1535237350,100,12.25,75.1,75.26,75.26,10.22
97,Formosa do Rio Preto,0,BR,1535237350,44,-11.04,-45.19,75.8,75.8,7.09
98,Bud,92,NO,1535235600,87,62.91,6.91,48.2,48.2,4.7
99,Bambous Virieux,75,MU,1535234400,69,-20.34,57.76,73.4,73.4,14.99
100,Olinda,20,EC,1535234400,61,-2.03,-79.75,80.6,80.6,6.93
101,Saint Anthony,1,US,1535234160,3,43.97,-111.68,80.96,79.34,12.75
102,Glace Bay,75,CA,1535234400,69,46.2,-59.96,73.4,73.4,10.29
103,Vaini,92,IN,1535237352,98,15.34,74.49,67.43,67.43,6.42
104,Sao Joao da Barra,0,BR,1535234400,73,-21.64,-41.05,75.2,75.2,11.41
105,Dingle,76,PH,1535237353,79,11.0,122.67,81.2,81.2,5.53
106,Narsaq,75,GL,1535233800,81,60.91,-46.05,44.6,44.6,6.93
107,Vanavara,88,RU,1535237353,99,60.35,102.28,54.47,54.47,3.4
108,Navrongo,88,GH,1535237354,99,10.89,-1.09,72.11,72.11,6.08
109,Kalmunai,80,LK,1535237354,99,7.42,81.82,73.28,73.28,2.95
110,Chandbali,92,IN,1535237354,100,20.77,86.74,78.68,78.68,8.66
111,Bethel,90,US,1535233980,80,60.79,-161.76,57.02,57.02,9.17
112,Sisimiut,64,GL,1535237355,90,66.94,-53.67,39.89,39.89,2.06
113,Ugoofaaru,88,MV,1535237355,100,5.67,73.0,80.57,80.57,13.8
114,Kruisfontein,0,ZA,1535237355,77,-34.0,24.73,57.89,57.89,15.59
115,Kaiyuan,92,CN,1535237356,99,42.54,124.04,62.93,62.93,5.19
116,Wasilla,1,US,1535234160,62,61.58,-149.44,60.98,59.72,2.73
117,Airai,0,TL,1535237356,74,-8.93,125.41,72.38,72.38,1.5
118,Amahai,48,ID,1535237357,100,-3.31,129.0,79.67,79.67,10.0
119,Lata,100,IN,1535237357,100,30.78,78.62,56.63,56.63,1.95
120,West Wendover,1,US,1535234160,2,40.74,-114.07,89.06,89.06,12.75
121,Mecca,36,SA,1535237357,78,21.43,39.83,75.89,75.89,2.73
122,Beringovskiy,92,RU,1535237358,100,63.05,179.32,49.52,49.52,9.66
123,Tilichiki,88,RU,1535237358,79,60.47,166.1,50.51,50.51,11.01
124,Mamakan,80,RU,1535237358,94,57.82,114.02,52.4,52.4,2.73
125,Kahului,75,US,1535234160,71,20.89,-156.47,84.02,81.37,20.8
126,Albany,75,US,1535234040,46,42.65,-73.75,78.8,75.97,11.41
127,Bredasdorp,76,ZA,1535234400,81,-34.53,20.04,50.0,50.0,14.99
128,Sitka,36,US,1535237359,40,37.17,-99.65,93.62,93.62,15.48
129,Camacha,40,PT,1535236200,77,33.08,-16.33,71.6,70.81,9.17
130,Upernavik,92,GL,1535237360,97,72.79,-56.15,39.35,39.35,22.08
131,Geraldton,90,CA,1535234400,82,49.72,-86.95,66.2,66.2,5.82
132,Komsomolskiy,0,RU,1535237360,84,67.55,63.78,37.73,37.73,2.06
133,Hirado,20,JP,1535234400,78,33.32,129.49,82.4,82.4,13.87
134,Rio Grande,0,BR,1535233500,57,-32.03,-52.1,51.8,51.8,11.41
135,Ponta Delgada,40,PT,1535236200,78,37.73,-25.67,71.6,71.6,10.29
136,Yenagoa,92,NG,1535237361,93,4.92,6.26,72.56,72.56,4.41
137,Cascais,0,PT,1535236200,77,38.7,-9.42,66.2,65.41,9.17
138,Naze,20,NG,1535234400,78,5.43,7.07,78.8,78.8,2.24
139,Padang,68,ID,1535237362,100,-0.92,100.36,79.22,79.22,4.63
140,Wanning,75,AT,1535235600,93,48.64,13.53,53.6,53.6,3.36
141,Zhigansk,0,RU,1535237358,69,66.77,123.37,54.02,54.02,3.06
142,Port-Gentil,40,GA,1535234400,83,-0.72,8.78,77.0,77.0,9.17
143,Codrington,92,AU,1535237363,100,-28.95,153.24,55.46,55.46,3.18
144,Port Hawkesbury,1,CA,1535234400,60,45.62,-61.36,75.2,75.2,4.7
145,Souillac,0,FR,1535236200,87,45.6,-0.6,59.0,58.01,4.52
146,Sorland,24,NO,1535237364,100,67.67,12.69,52.49,52.49,19.06
147,Husavik,12,CA,1535237365,77,50.56,-96.99,67.25,67.25,11.12
148,Nikolskoye,90,RU,1535234400,100,59.7,30.79,59.0,59.0,6.71
149,Half Moon Bay,20,US,1535234160,60,37.46,-122.43,84.02,75.99,17.22
150,Tazovskiy,0,RU,1535237366,72,67.47,78.7,57.8,57.8,6.64
151,Lagoa,0,PT,1535236200,25,37.14,-8.45,84.2,84.2,5.82
152,Werota,48,ET,1535237367,96,11.92,37.7,55.1,55.1,2.73
153,Biltine,64,TD,1535237367,96,14.53,20.93,68.24,68.24,8.43
154,Kandrian,76,PG,1535237368,92,-6.21,149.55,79.13,79.13,2.95
155,Calama,0,CL,1535234400,4,-22.46,-68.93,69.8,69.8,19.46
156,Roebourne,0,AU,1535237368,31,-20.77,117.15,58.07,58.07,14.03
157,Cap-aux-Meules,75,CA,1535234400,69,47.38,-61.86,73.4,73.4,16.11
158,Torbay,90,CA,1535234400,68,47.66,-52.73,69.8,69.8,16.11
159,Phalaborwa,0,ZA,1535234400,56,-23.95,31.14,69.8,69.8,4.7
160,Saldanha,0,PT,1535237369,74,41.42,-6.55,57.26,57.26,1.39
161,Mokhsogollokh,88,RU,1535237369,93,61.4,128.95,56.81,56.81,3.4
162,Iwanai,88,JP,1535237370,100,42.97,140.51,66.71,66.71,15.7
163,Lebu,20,ET,1535237370,90,8.96,38.73,43.49,43.49,2.62
164,Waverley,0,AU,1535236200,81,-33.9,151.26,53.6,51.62,11.41
165,Lavrentiya,76,RU,1535237370,93,65.58,-170.99,46.46,46.46,11.68
166,Fort-Shevchenko,0,KZ,1535237371,100,44.51,50.26,64.91,64.91,9.22
167,Thunder Bay,75,CA,1535234400,77,48.41,-89.26,69.8,69.8,8.05
168,Kralendijk,40,BQ,1535234100,74,12.15,-68.27,84.2,84.2,20.8
169,Natchez,1,US,1535234160,47,31.56,-91.4,91.94,91.94,5.82
170,Goderich,92,CA,1535237372,96,43.74,-81.71,68.42,68.42,15.82
171,Prince George,75,CA,1535234400,77,53.92,-122.75,59.0,59.0,6.93
172,Khani,40,GE,1535234400,94,41.96,42.96,69.8,69.8,2.24
173,Katangli,36,RU,1535237309,89,51.71,143.23,57.8,57.8,0.72
174,Mindelo,0,PT,1535234400,87,41.31,-8.72,60.8,60.8,3.36
175,Vao,92,EE,1535237374,96,59.1,26.19,57.08,57.08,2.62
176,Hithadhoo,36,MV,1535237374,100,-0.6,73.08,80.3,80.3,7.43
177,Aasiaat,92,GL,1535237374,98,68.71,-52.87,42.32,42.32,2.62
178,Mwinilunga,0,ZM,1535237159,72,-11.73,24.43,57.53,57.53,2.39
179,Kutum,32,SD,1535237375,88,14.2,24.66,65.27,65.27,3.62
180,Belmonte,0,PT,1535237086,66,40.36,-7.35,58.88,58.88,3.74
181,Port Alfred,0,ZA,1535237375,95,-33.59,26.89,59.96,59.96,7.54
182,East London,44,ZA,1535237376,94,-33.02,27.91,68.87,68.87,13.02
183,Marawi,20,PH,1535237237,87,8.0,124.29,75.17,75.17,2.62
184,Banda Aceh,24,ID,1535237377,85,5.56,95.32,76.79,76.79,4.97
185,Te Anau,32,NZ,1535237259,83,-45.41,167.72,46.91,46.91,13.02
186,Kurara,88,IN,1535237377,98,25.98,79.99,74.72,74.72,7.99
187,Woodstock,75,CA,1535234400,78,43.13,-80.75,77.0,74.07,13.87
188,Port Moresby,88,PG,1535237378,100,-9.47,147.16,76.88,76.88,13.58
189,Galle,20,US,1535234160,37,29.74,-97.91,100.94,99.19,11.41
190,Chumikan,0,RU,1535237378,81,54.72,135.31,64.37,64.37,2.17
191,Buraydah,0,SA,1535234400,33,26.33,43.97,87.8,87.8,5.82
192,Senanga,0,ZM,1535237379,44,-16.1,23.3,62.57,62.57,7.09
193,Cherskiy,88,RU,1535237380,85,68.75,161.3,37.91,37.91,7.43
194,Ust-Maya,12,RU,1535237380,88,60.42,134.54,60.05,60.05,3.62
195,Cuprija,0,RS,1535236200,100,43.93,21.37,62.6,62.6,1.12
196,Winchester,0,GB,1535235600,87,51.06,-1.31,53.6,50.9,1.12
197,Constitucion,75,MX,1535233200,28,23.99,-104.67,80.6,80.6,8.05
198,Setermoen,92,NO,1535235600,87,68.86,18.35,50.0,50.0,18.34
199,Les Cayes,12,HT,1535237381,99,18.19,-73.75,81.38,81.38,12.46
200,Villamontes,56,BO,1535237382,68,-21.26,-63.47,51.68,51.68,2.39
201,Maragogi,92,BR,1535237382,92,-9.01,-35.22,74.09,74.09,10.56
202,Clermont,0,AU,1535237382,64,-22.82,147.64,71.12,71.12,7.76
203,Emerald,36,AU,1535237383,75,-23.53,148.16,69.32,69.32,4.63
204,Mar del Plata,32,AR,1535237383,45,-46.43,-67.52,60.23,60.23,25.55
205,Nabha,92,IN,1535237383,95,30.37,76.15,75.8,75.8,6.2
206,Aklavik,75,CA,1535234400,76,68.22,-135.01,59.0,56.03,8.05
207,Kloulklubed,75,PW,1535233800,94,7.04,134.26,75.2,75.2,3.36
208,Noumea,64,NC,1535236200,82,-22.28,166.46,66.2,66.2,6.08
209,Rurrenabaque,90,BO,1535234400,77,-14.44,-67.53,69.8,69.8,2.95
210,Igrim,32,RU,1535237384,77,63.19,64.42,54.38,54.38,7.2
211,Hovd,75,NO,1535235600,81,63.83,10.7,50.0,50.0,13.87
212,Nador,0,MA,1535236200,83,35.17,-2.93,75.2,73.15,6.93
213,Clarence Town,90,AU,1535236200,82,-32.59,151.78,57.2,57.2,5.82
214,Necochea,0,AR,1535237386,76,-38.55,-58.74,37.55,37.55,2.95
215,Katsuura,20,JP,1535234400,78,33.93,134.5,78.8,78.8,6.93
216,Sishui,80,CN,1535237387,85,35.66,117.27,74.0,74.0,4.52
217,Esperance,20,TT,1535234400,74,10.24,-61.45,84.2,84.2,12.75
218,Mugumu,80,TZ,1535237387,96,-1.84,34.67,55.91,55.91,2.51
219,Saurimo,44,AO,1535237443,89,-9.66,20.4,67.88,67.88,2.39
220,Urusha,32,RU,1535237388,81,54.05,122.9,68.87,68.87,3.4
221,Ilulissat,92,GL,1535237243,100,69.22,-51.1,40.43,40.43,2.51
222,Urdoma,0,RU,1535237389,87,61.74,48.55,47.0,47.0,5.19
223,Panjab,0,AF,1535237389,83,34.38,67.02,27.56,27.56,2.06
224,Longyearbyen,40,NO,1535233800,69,78.22,15.63,37.4,37.4,14.99
225,Alice Springs,0,AU,1535236200,45,-23.7,133.88,46.4,46.4,5.82
226,Listvyanka,0,RU,1535234400,100,51.86,104.86,48.2,48.2,6.71
227,Meulaboh,48,ID,1535237390,100,4.14,96.13,78.86,78.86,3.74
228,Ulety,88,RU,1535237390,99,51.36,112.48,56.09,56.09,3.74
229,Gamba,56,CN,1535237391,92,28.28,88.52,31.43,31.43,1.39
230,Sangar,68,RU,1535237391,67,63.92,127.47,55.46,55.46,3.06
231,Westport,92,IE,1535237137,92,53.8,-9.52,52.4,52.4,9.44
232,Tuatapere,0,NZ,1535237392,84,-46.13,167.69,53.3,53.3,19.73
233,Cidreira,32,BR,1535237155,75,-30.17,-50.22,50.33,50.33,15.82
234,Henties Bay,0,NA,1535237392,100,-22.12,14.28,51.32,51.32,8.43
235,Nynashamn,92,SE,1535235600,93,58.9,17.95,51.8,49.95,13.24
236,Ust-Kuyga,0,RU,1535237393,94,70.0,135.55,45.2,45.2,3.51
237,Rosetta,0,EG,1535237393,93,31.4,30.42,71.93,71.93,5.64
238,Ponta do Sol,36,BR,1535237393,92,-20.63,-46.0,63.74,63.74,0.38
239,Khatanga,20,RU,1535237393,76,71.98,102.47,52.4,52.4,13.47
240,Burnie,48,AU,1535237394,100,-41.05,145.91,52.13,52.13,16.71
241,Talnakh,56,RU,1535237394,91,69.49,88.39,51.5,51.5,3.4
242,Yuzhnyy,0,RU,1535237394,72,53.54,39.45,51.05,51.05,2.73
243,Kirksville,8,US,1535236500,52,40.19,-92.58,91.94,91.67,11.45
244,Bereda,0,ES,1535236200,82,43.27,-7.54,62.6,62.6,3.36
245,Mantua,75,IT,1535235600,82,45.16,10.79,64.4,62.28,8.05
246,Kaitangata,0,NZ,1535237395,72,-46.28,169.85,55.01,55.01,21.63
247,Hun,20,BE,1535235600,76,50.34,4.87,53.6,51.8,4.7
248,Leh,88,IN,1535237232,91,34.16,77.58,31.34,31.34,1.72
249,Tyukhtet,20,RU,1535237396,94,56.54,89.31,57.17,57.17,4.74
250,Ribeira Grande,0,PT,1535237235,100,38.52,-28.7,73.82,73.82,9.22
251,Alofi,76,NU,1535234400,94,-19.06,-169.92,73.4,73.4,9.17
252,Mount Gambier,92,AU,1535237156,95,-37.83,140.78,49.88,49.88,3.62
253,Arvika,80,SE,1535235600,100,59.65,12.59,44.6,44.6,5.19
254,Nome,1,US,1535235300,45,30.04,-94.42,95.54,93.02,10.29
255,Puerto Lempira,90,HN,1535234400,100,15.27,-83.77,77.0,77.0,5.41
256,Pitimbu,75,BR,1535234400,83,-7.47,-34.81,75.2,75.2,10.29
257,Nara,20,JP,1535234400,69,34.68,135.8,82.4,81.18,8.05
258,Gijon,75,ES,1535236200,88,43.54,-5.66,62.6,62.6,3.36
259,Antalya,0,TR,1535235600,83,36.9,30.69,77.0,77.0,5.82
260,Tsiroanomandidy,8,MG,1535237399,83,-18.77,46.05,48.98,48.98,4.97
261,Gazli,0,UZ,1535237399,32,40.13,63.45,60.86,60.86,7.99
262,Bacolod,44,PH,1535237455,79,10.68,122.95,82.01,82.01,6.76
263,Lompoc,90,US,1535236500,82,34.64,-120.46,80.6,72.09,10.29
264,Bandarbeyla,32,SO,1535237401,87,9.49,50.81,77.24,77.24,30.58
265,Del Rio,1,US,1535234160,33,29.36,-100.9,98.6,98.33,14.99
266,Lesnoy,0,RU,1535237401,90,59.78,52.13,43.58,43.58,2.39
267,Faanui,36,PF,1535237402,100,-16.48,-151.75,77.51,77.51,6.53
268,Takoradi,92,GH,1535237402,95,4.89,-1.75,75.44,75.44,7.76
269,Caravelas,0,BR,1535237237,100,-17.73,-39.27,75.89,75.89,15.03
270,Kangaatsiaq,76,GL,1535237403,95,68.31,-53.46,42.59,42.59,3.51
271,Taltal,0,CL,1535237308,89,-25.41,-70.49,55.01,55.01,2.17
272,Duluth,90,US,1535236500,78,46.77,-92.13,75.2,72.37,6.64
273,Klaksvik,92,FO,1535235600,87,62.23,-6.59,46.4,46.4,4.7
274,Lorengau,12,PG,1535237388,100,-2.02,147.27,82.64,82.64,2.62
275,Mandera,64,ET,1535237404,67,3.94,41.86,76.97,76.97,15.26
276,Paamiut,56,GL,1535237404,92,61.99,-49.67,43.85,43.85,19.84
277,Ahipara,56,NZ,1535237323,85,-35.17,173.16,57.53,57.53,11.68
278,Sibolga,32,ID,1535237404,100,1.74,98.78,66.62,66.62,1.05
279,Okhotsk,80,RU,1535237405,100,59.36,143.24,60.23,60.23,3.74
280,Aleksandrovka,20,RU,1535237405,72,46.65,38.4,72.83,72.83,14.58
281,Pozo Colorado,0,PY,1535237406,49,-23.49,-58.8,54.38,54.38,7.2
282,Saint-Francois,90,FR,1535236200,93,46.42,3.91,48.2,48.2,1.12
283,Tateyama,75,JP,1535234400,88,36.66,137.31,78.8,78.8,3.36
284,Vila Velha,20,BR,1535234400,78,-3.71,-38.6,80.6,80.6,6.93
